Class,"Static (p64, valdice) IoU","Static (p64, valdice) Dice",Static (p64) IoU,Static (p64) Dice,Static (p128) IoU,Static (p128) Dice,Dynamic (p128) IoU,Dynamic (p128) Dice,Latest (p128) IoU,Latest (p128) Dice,Latest (p64) IoU,Latest (p64) Dice,Latest+EM (p128) IoU,Latest+EM (p128) Dice,Latest+EM (p64) IoU,Latest+EM (p64) Dice,Latest+Res (p128) IoU,Latest+Res (p128) Dice,Latest+Res (p64) IoU,Latest+Res (p64) Dice,SDT Baseline IoU,SDT Baseline Dice
ER,0.2512,0.3503,0.2242,0.3223,0.5955,0.6944,0.7174,0.8032,0.7027,0.7744,0.4599,0.5605,0.4068,0.5163,0.2869,0.3855,0.4551,0.5591,0.3244,0.4287,0.3517,0.4400
ERES,0.0008,0.0014,0.0000,0.0000,0.2673,0.3215,0.3873,0.4380,0.1934,0.2173,0.0088,0.0146,0.0205,0.0298,0.0000,0.0000,0.0282,0.0403,0.0000,0.0000,0.0197,0.0325
Endosomes,0.1132,0.1747,0.0247,0.0428,0.3442,0.4210,0.5166,0.5941,0.5845,0.6490,0.2259,0.3084,0.2047,0.2839,0.0903,0.1344,0.2020,0.2828,0.0781,0.1205,0.2067,0.2651
Golgi,0.0073,0.0122,0.0000,0.0001,0.0728,0.0861,0.1041,0.1182,0.2655,0.2945,0.0640,0.0828,0.0618,0.0849,0.0000,0.0000,0.1451,0.1805,0.0002,0.0003,0.0854,0.1098
Lipid Droplets,0.0344,0.0427,0.0130,0.0193,0.1483,0.1623,0.2202,0.2363,0.3030,0.3318,0.0552,0.0737,0.0505,0.0657,0.0076,0.0135,0.1181,0.1445,0.0077,0.0124,0.1387,0.1477
Lysosomes,0.0831,0.1054,0.0594,0.0798,0.5161,0.5768,0.7877,0.8513,0.3495,0.3725,0.0932,0.1139,0.0951,0.1194,0.0438,0.0547,0.1206,0.1501,0.0562,0.0693,0.1259,0.1458
Microtubules,0.0319,0.0525,0.0089,0.0159,0.1194,0.1679,0.2011,0.2655,0.3079,0.3923,0.1049,0.1532,0.0719,0.1082,0.0418,0.0680,0.0935,0.1381,0.0373,0.0606,0.0845,0.1241
Mitochondria,0.3416,0.4054,0.2078,0.2687,0.5726,0.6056,0.6580,0.6834,0.6899,0.7120,0.4935,0.5350,0.5080,0.5474,0.3536,0.4066,0.5080,0.5502,0.4396,0.4941,0.5248,0.5700
Nuclear Pores,0.0363,0.0585,0.0232,0.0378,0.4308,0.5308,0.6423,0.7512,0.5934,0.6730,0.1085,0.1456,0.1727,0.2366,0.0431,0.0673,0.1643,0.2243,0.0399,0.0662,0.2108,0.2969
Nucleus,0.0986,0.1180,0.1109,0.1315,0.3002,0.3199,0.4023,0.4140,0.4644,0.4702,0.1925,0.2047,0.3450,0.3667,0.1179,0.1330,0.3370,0.3499,0.1267,0.1452,0.3018,0.3217
Peroxisomes,0.0408,0.0523,0.0377,0.0583,0.1765,0.2106,0.2025,0.2253,0.2309,0.2613,0.0782,0.0938,0.0966,0.1284,0.0155,0.0253,0.0783,0.1018,0.0174,0.0309,0.1152,0.1238
Vesicles,0.1027,0.1642,0.0472,0.0810,0.3420,0.4434,0.5247,0.6280,0.6187,0.7169,0.2610,0.3691,0.2260,0.3231,0.1363,0.2028,0.2423,0.3385,0.1600,0.2362,0.2275,0.3144
Vimentin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1564,0.2396,0.0659,0.1049,0.0680,0.1124,0.0498,0.0850,0.0844,0.1375,0.0511,0.0853,0.0606,0.1028
