Dataset,Resolution,"Static (p64, valdice) mIoU","Static (p64, valdice) mDice",Static (p64) mIoU,Static (p64) mDice,Static (p128) mIoU,Static (p128) mDice,Dynamic (p128) mIoU,Dynamic (p128) mDice,Latest (p128) mIoU,Latest (p128) mDice,Latest (p64) mIoU,Latest (p64) mDice,Latest+EM (p128) mIoU,Latest+EM (p128) mDice,Latest+EM (p64) mIoU,Latest+EM (p64) mDice,Latest+Res (p128) mIoU,Latest+Res (p128) mDice,Latest+Res (p64) mIoU,Latest+Res (p64) mDice,SDT Baseline mIoU,SDT Baseline mDice
jrc_cos7-1a,"[2.0, 2.0, 2.0]",0.0466,0.0695,0.0357,0.0577,0.1941,0.2466,0.3406,0.3919,0.2155,0.2888,0.0609,0.0853,0.1084,0.1558,0.0455,0.0656,0.1242,0.1792,0.0385,0.0586,0.1302,0.1726
jrc_cos7-1b,"[2.0, 2.0, 2.0]",0.0440,0.0683,0.0426,0.0690,0.2368,0.2853,0.3241,0.3709,0.2762,0.3098,0.1131,0.1518,0.1685,0.2111,0.1041,0.1406,0.1822,0.2275,0.1109,0.1543,0.1196,0.1537
jrc_ctl-id8-1,"[3.48, 4.0, 4.0]",0.0456,0.0766,0.0528,0.0847,0.7080,0.7507,0.7241,0.7598,0.4727,0.5179,0.1516,0.1870,0.1003,0.1354,0.0761,0.1015,0.1941,0.2377,0.1122,0.1457,0.3269,0.3818
jrc_fly-mb-1a,"[4.0, 4.0, 4.0]",0.0571,0.0892,0.0236,0.0412,0.3591,0.4395,0.3990,0.4559,0.4781,0.5514,0.1160,0.1612,0.1890,0.2457,0.0462,0.0689,0.1903,0.2593,0.0635,0.0932,0.1634,0.2099
jrc_fly-vnc-1,"[4.0, 4.0, 4.0]",0.1583,0.2225,0.0538,0.0872,0.4545,0.5504,0.5235,0.6187,0.5330,0.6268,0.2778,0.3658,0.2228,0.3060,0.0996,0.1466,0.2714,0.3655,0.1284,0.1816,0.3588,0.4554
jrc_hela-2,"[5.24, 4.0, 4.0]",0.0835,0.1271,0.0621,0.1015,0.2907,0.3569,0.4428,0.5143,0.5343,0.5952,0.2008,0.2628,0.2187,0.2802,0.0859,0.1221,0.2257,0.2870,0.1043,0.1505,0.2095,0.2594
jrc_hela-3,"[3.24, 4.0, 4.0]",0.0934,0.1281,0.0813,0.1150,0.3420,0.4052,0.4802,0.5467,0.6624,0.7321,0.3721,0.4512,0.3711,0.4487,0.2179,0.2812,0.3223,0.3961,0.2308,0.2908,0.2866,0.3577
jrc_jurkat-1,"[3.44, 4.0, 4.0]",0.0661,0.1002,0.0520,0.0828,0.3554,0.4118,0.5048,0.5657,0.3365,0.3751,0.1147,0.1461,0.0881,0.1152,0.0484,0.0681,0.0900,0.1306,0.0437,0.0575,0.2043,0.2446
jrc_macrophage-2,"[3.36, 4.0, 4.0]",0.1430,0.1899,0.1205,0.1677,0.4221,0.4812,0.5472,0.6095,0.6521,0.7181,0.2505,0.3180,0.2098,0.2825,0.0669,0.1080,0.2864,0.3655,0.0978,0.1449,0.2663,0.3401
jrc_mus-heart-1,"[64.0, 64.0, 64.0]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
jrc_mus-kidney,"[8.0, 8.0, 8.0]",0.0706,0.0937,0.0532,0.0727,0.2841,0.3202,0.3322,0.3635,0.2139,0.2344,0.1190,0.1401,0.1194,0.1442,0.1020,0.1268,0.1274,0.1527,0.1196,0.1441,0.1415,0.1666
jrc_mus-kidney-glomerulus-2,"[16.0, 16.0, 16.0]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jrc_mus-liver,"[8.0, 8.0, 8.0]",0.1542,0.1921,0.1232,0.1613,0.4156,0.4795,0.4663,0.5243,0.5415,0.5932,0.3204,0.3751,0.3453,0.4111,0.2337,0.2799,0.3538,0.4160,0.2502,0.2972,0.5040,0.5723
