Model,N patches,Mean IoU,Mean Dice,Fine IoU,Medium IoU,Coarse IoU,Fine-Coarse Gap
"Static (p64, valdice)",301,0.0906,0.1225,0.0937,0.1158,0.0000,0.0937
Static (p64),301,0.0672,0.0954,0.0651,0.0887,0.0000,0.0651
Static (p128),301,0.3079,0.3606,0.3480,0.3753,0.0000,0.3480
Dynamic (p128),301,0.4065,0.4583,0.4568,0.4972,0.0000,0.4568
Latest (p128),164,0.4165,0.4646,0.4516,0.5680,0.0000,0.4516
Latest (p64),164,0.1784,0.2209,0.1943,0.2424,0.0000,0.1943
Latest+EM (p128),164,0.1868,0.2335,0.2003,0.2570,0.0000,0.2003
Latest+EM (p64),164,0.1042,0.1369,0.1014,0.1537,0.0000,0.1014
Latest+Res (p128),164,0.2082,0.2590,0.2190,0.2907,0.0000,0.2190
Latest+Res (p64),164,0.1178,0.1526,0.1136,0.1747,0.0000,0.1136
SDT Baseline,164,0.2133,0.2589,0.2168,0.3054,0.0000,0.2168
