Class,Latest+EM stress IoU,Latest+EM stress Dice,Latest+EM stress HD95,Latest+EM stress Precision,Latest+EM stress Recall,Latest+EM stress F1,Latest+Res stress IoU,Latest+Res stress Dice,Latest+Res stress HD95,Latest+Res stress Precision,Latest+Res stress Recall,Latest+Res stress F1
ER,0.6149,0.7615,18.5154,0.7824,0.7418,0.7615,0.5340,0.6963,20.3869,0.7948,0.6194,0.6963
ERES,0.0000,0.0000,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,0.0000,0.0000,0.0000
Endosomes,0.3146,0.4786,50.9566,0.7062,0.3619,0.4786,0.2642,0.4179,48.5220,0.4796,0.3704,0.4179
Golgi,0.0000,0.0000,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,0.0000,0.0000,0.0000
Lipid Droplets,0.0000,0.0000,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,0.0000,0.0000,0.0000
Lysosomes,0.8446,0.9157,15.1613,0.8974,0.9348,0.9157,0.8480,0.9177,8.4047,0.9149,0.9206,0.9177
Microtubules,0.3584,0.5277,25.0096,0.8187,0.3893,0.5277,0.4091,0.5807,32.4098,0.6775,0.5081,0.5807
Mitochondria,0.9386,0.9683,12.2152,0.9552,0.9818,0.9683,0.9108,0.9533,13.9344,0.9792,0.9287,0.9533
Nuclear Pores,0.0000,0.0000,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,0.0000,0.0000,0.0000
Nucleus,0.0000,0.0000,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,0.0000,0.0000,0.0000
Peroxisomes,0.2372,0.3834,28.4080,0.9585,0.2396,0.3834,0.1234,0.2197,34.5279,0.9901,0.1235,0.2197
Vesicles,0.3591,0.5284,28.9551,0.7227,0.4164,0.5284,0.3886,0.5597,28.6506,0.6356,0.5000,0.5597
Vimentin,0.0000,0.0000,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,0.0000,0.0000,0.0000
